vid,payee,verdict,confidence,overtaker_interest,recommended_action,false_positive_markers,public_context,data_explanation
IV0000006755,THE WEITZ CO,explained_benign,high,2,suppress_marker,new_vendor_large; new_vendor_dominant; short_tenure_vendor; offcontract; no_contract_named,"The Weitz Company was the construction-manager-at-risk (with architect SmithGroup) for the Arizona Department of Veterans' Services on the Flagstaff and Yuma State Veteran Homes — two 74,000 sq ft, 80-bed facilities; groundbreaking 2019, scheduled completion June 2021. This confirms the FY2021 draws as routine progress payments on a documented, publicly announced capital project.","All 24 flagged FY2021 transactions ($33M HV / $27.2M Tier-1) are scheduled CAPITAL OUTLAY construction draws for the Arizona State Veteran Homes. Appropriation names explicitly read ASVH FLAGSTAFF CONSTRUCTION, ASVH - YUMA CONSTRUCTION, and VDF ADMINISTRATION; all paid by ACH at DEPT OF VETERANS SERVICES. These are progress payments on two large veterans-home builds, not discretionary spend. Critically, hv_base shows THE WEITZ CO already present at this same agency in FY2019 ($198K) and FY2020 ($21.6M, peak construction) — both years carry NULL vid system-wide (known caveat), so the model wron"
IV0000000903,CGI TECHNOLOGIES AND SOLUTIONS INC,explained_benign,high,2,suppress_marker,new_vendor_large; offcontract,"CGI Technologies and Solutions Inc. is the US arm of CGI Inc., a major publicly traded Canadian IT/systems-integration firm; it is the long-standing integrator behind Arizona's statewide AFIS (Arizona Financial Information System) ERP and the HRIS replacement.","All spend is one vendor to one agency (Dept of Administration) for named ERP/HR systems-integration work: AFIS (Arizona Financial Information System, the state accounting backbone), AFIS REPLACEMENT/ERP, HRIS REPLACEMENT, AFIS COLLECTIONS. Nearly every flagged row carries an explicitly named contract (contract_name = 'ARIZONA FINANCIAL INFORMATION SYSTEM REPLACEMENT', 'HUMAN RESOURCES INFORMATION SYSTEM (HRIS) AMENDMENT #2/#3/#4', etc.) with real contract_numbers ADSPO13-043465 (AFIS), CTR061240 (HRIS), ADSPO16-157078, ADSPO17-169218. This is a documented, multi-year major IT contract, not an "
VC0000006143,DEPARTMENT OF HEALTH AND HUMAN SERVICES,false_positive_marker,high,1,suppress_marker,offcontract; nonstd_rail; sole_source; whole_dollar; peer_outlier,,"Payee is the US federal Department of Health and Human Services (HHS) being paid BY Arizona state agencies (mainly Dept of Administration / ADOA), i.e. an intergovernmental remittance to the US government, not a procured vendor. Appropriations are all routine/administrative: ""FEDERAL PAYMENTS"" (the Tier-1 large items, $14.5M FY2018, $6.2M+$3.6M FY2016, $5.4M FY2025, drawn from SPECIAL EMPLOYEE HEALTH INS TRUST and RISK MANAGEMENT FUND), ""ANNUAL REVERSION ARS 41-750C"" (statutory return of unspent Personnel Division appropriations), ""GAO STIMULUS ADMIN"" (federal stimulus admin), and ""NON-APPROPR"
IV0000000310,DELOITTE CONSULTING,mixed,high,2,annotate,nonstd_rail; offcontract; no_contract_named; whole_dollar; peer_outlier,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems.","Deloitte is a major IT systems-integrator for Arizona. 46 of 48 high-value rows ($39.7M of $42.1M) carry a contract number, far above the ~4% baseline. Spend is concentrated on named multi-year contracts: CTR052815 ""IMPLEMENTATION SERVICES FOR ATLAS REPLACEMENT PROJECT"" amendments #1-#10 (DES Division of Child Support Services modernization, $34.9M FY2021-2025); CTR070213 ""DIGITAL GOVERNMENT AND ENTERPRISE APPLICATION SERVICES"" ($4.1M FY2025); CTR076760 ADOT Capital Project Delivery System; CTR076116 Human Capital Management Plan. The high robust-z (up to 101) and whole_dollar markers are expl"
IV0000008944,COFFMAN SPECIALTIES INC,explained_benign,high,2,downgrade,offcontract; no_contract_named; peer_outlier,"Coffman Specialties, Inc. is an established heavy-civil/highway construction firm (founded 1991, Woman-Owned Business Enterprise) with documented major ADOT design-build contracts, including a ~$410M I-10 corridor project (with Fisher Sand & Gravel/Stantec) and a $41.9M US-60/Bell Road interchange in Surprise, AZ.","All 20 FY2025 high-value rows are ADOT (DEPT OF TRANSPORTATION) CAPITAL OUTLAY payments under appropriation FEDERAL AID (plus a few M-RARF CONSTRUCT FREEWAYS rows), paid by ACH out of STATE HIGHWAY FUND and REGIONAL AREA ROAD FUND. This is routine federal-aid highway construction progress billing. COFFMAN's FY2025 total ($47.5M) sits squarely among ADOT's mainstream heavy-civil contractors in the same bucket (FNF $223M, Kiewit-Fann $126M, Pulice-FNF-Flatiron $102M, Fisher Sand & Gravel $93M, Sundt, Granite, Fann), and its vendor_share_of_agency_year is only ~0.96%. The 'peer_outlier' robust_z "
IV0000009965,GEO SECURE SERVICES LLC,explained_benign,high,3,annotate,offcontract; nonstd_rail; new_vendor_large,"GEO Secure Services LLC is a subsidiary of The GEO Group (NYSE: GEO), a publicly traded private-prison and detention operator that runs Arizona facilities including ASP-Kingman, Florence West, and Phoenix West under long-standing Arizona Department of Corrections contracts.","All 586 high-value rows (335 flagged, ~$265M FY2021-2025) go to a single agency, DEPT OF CORRECTIONS, under appropriation PRIVATE PRISON PER DIEM with named, numbered ADOC contracts (ASP-Kingman ADOC16-113022; CACF ADOC17-166204; plus ASP-Phoenix West, Florence West). contract_number is 97.6% populated (6 distinct contracts) for this vendor, so 'offcontract'/'nonstd_rail' (which fired on only 10 rows, all still carrying a contract_name) misfired. 'new_vendor_large' is the FY2019/2020 NULL vendor_id caveat — GEO has operated AZ private prisons for over a decade; first_year_seen 2021 is artifact"
IV0000016996,MOTOROLA SOLUTIONS INC,false_positive_marker,high,2,suppress_marker,new_vendor_large; offcontract,"Motorola Solutions Inc. (NYSE: MSI, headquartered near Chicago) is the dominant U.S. provider of public-safety land-mobile-radio (P25) systems; multi-year, multi-million-dollar statewide radio contracts with state police/DOT agencies are its core line of business.","Every flagged row is Motorola selling land mobile radio / public-safety communications equipment to AZ public-safety agencies (DPS dominant, plus ADOT, Corrections, DEMA/Army Nat'l Guard, Game & Fish). All Tier-1 rows share one contract: name ""PUBLIC COMMUNICATION EQUIPMENT AND SERVICES"", number CTR046830 (a populated statewide contract). Appropriations are mission-named: LAND MOBILE RADIO EXPANSION AND UPGRADES, RADIO LIFECYCLE REPLACEMENT, DPS JOINT FUND; booked to CAPITAL EQUIPMENT. hv_base shows Motorola is an OLD vendor present since FY2016 ($2-7M/yr in 2016-2020, $5.4M in both FY2019 and"
VC0000080576,CRE-WPL ESTRELLA JV LLC,explained_benign,medium,2,downgrade,short_tenure_vendor; new_vendor_large; offcontract; no_contract_named; peer_outlier,"""Estrella"" is a master-planned community in Goodyear, Arizona (southwest Maricopa County), in the SR-30 / Loop 303 freeway corridor; ""CRE-WPL Estrella JV LLC"" reads as a commercial-real-estate joint venture entity. A targeted web search confirmed only the general ADOT right-of-way land-acquisition context, not the specific JV (single-purpose land-holding LLCs are not independently searchable).","3 FY2024 transactions to DEPT OF TRANSPORTATION, all CAPITAL OUTLAY, totaling ~$24.3M: $18.56M and $5.45M under appropriations ""M-RARF CONSTRUCT FREEWAYS OTH RT 56-2"" (Maricopa Regional Area Road Fund freeway construction) and ""FEDERAL AID"", plus a $329K tail. The payee name and the peer set are the signature of right-of-way / land acquisition for freeway construction: in the same agency/category/M-RARF appropriation for FY2024 the largest payees include GBC Properties LLC, Boschma Land Trust, Security Title Agency, and Zeitlin and Zeitlin PC (a law firm) alongside heavy-civil JVs (Pulice-FNF-"
VC0000004097,J AND H MARSH AND MCLENNAN,explained_benign,high,2,downgrade,"whole_dollar — insurance premiums/loss payments are routinely round-dollar; 66/70 whole is expected for a broker, not suspicious; offcontract — contract_number is only ~19% populated dataset-wide (11201/58376) and 0% for this vendor; weak alone per structural caveat #2; premiums paid via warrant against an appropriation, no line-item contract number captured; nonstd_rail — fired despite payment_method being plain WARRANT (the most standard state disbursement rail); the marker appears to misclassify these routine warrants",Marsh & McLennan (Marsh USA / J&H Marsh & McLennan) is the world's largest insurance brokerage and risk-advisory firm; states routinely retain it to place property/casualty and workers' compensation coverage and pay premiums for self-insurance/risk-management programs.,"Every row (FY2016-FY2023, 82 high-value txns, all by WARRANT) goes to a single agency, DEPT OF ADMINISTRATION, under appropriations literally named ""RISK MANAGEMENT LOSSES AND PREMIUMS"" and ""WORKERS COMPENSATION LOSSES & PREMIUMS"", category OTHER OPERATING EXPENDITURES. This is ADOA Risk Management's self-insurance program paying insurance premiums/losses through Marsh, the world's largest insurance broker. The appropriation name itself states the purpose. Vendor concentration is negligible: max vendor_share_of_agency_year is ~0.8%, so this is NOT a dominant/concentrated vendor. The risk_score"
VC0000022758,STATE TREASURER,false_positive_marker,high,1,suppress_marker,person_name_payee; offcontract; nonstd_rail; round_100k; whole_dollar,,"Payee is ""STATE TREASURER"" — the Arizona State Treasurer's office, a government entity, not a private vendor or person. All 16 flagged rows carry person_name_payee, which is a regex misfire on the office name. Two streams: (1) 14 rows under STATE TREASURER agency / appropriation ""COM COL REIMBURSEMENT ARS 15-1469-01"" — statutory community-college state-aid reimbursement under A.R.S. 15-1469, recurring every year 2017-2025 and growing ($23M->$44M/yr), whole-dollar/round amounts because it is a statutory formula distribution; offcontract/whole_dollar/round_100k/nonstd_rail are all expected for a"
IV0000016232,GCOM SOFTWARE LLC,explained_benign,high,3,annotate,whole_dollar,"GCOM Software LLC (now rebranded Voyatek) was selected by the Arizona Dept of Revenue in Aug 2023 for a ~15-year, ~$79.1M contract to build the STARS integrated tax system (RevHub platform, with subcontractor Kyndryl). The multi-year modernization is publicly documented and ongoing (completion ~2029-2030).","All 10 high-value rows (7 Tier-1) are a single documented contract: CTR066383 ""ARIZONA INTEGRATED TAX SYSTEM MODERNIZATION - STARS PROGRAM"" (with named Amendments #1/#2) at DEPT OF REVENUE, charged to the dedicated appropriation INTEGRATED TAX SYSTEM MODERNIZATION. Contract number is POPULATED on every row, so no offcontract/no-contract concern. Spend is ~$15.79M across FY2024 (7 txns, 11.7% of DOR) and ~$3.25M FY2025 (3 txns, 3.2%), all via ACH against the same contract. The high robust_z (up to 46) and peer_outlier/agency_benford fire because these are genuinely large, lumpy capital-equipmen"
PZ000057277,"ACTIVE RESOURCE MANAGEMENT, LLC",genuine_review,high,4,keep,,"ACTIVE RESOURCE MANAGEMENT, LLC (ARM) was a water-asset holding company (owned by Vidler Water Company) that sold 50,000 Long Term Storage Credits to the Arizona Water Banking Authority for $12.5M (~$250/credit). Local reporting (Desert Water Grab) characterized it as a private sale to the water bank at a notably high price relative to ARM's underlying acquisition cost.","Single $12,500,000 ACH payment in FY2017 from DEPT OF WATER RESOURCES, AZ WATER BANKING fund, appropriation WATER BANKING AUTHORITY, coded OTHER OPERATING EXPENDITURES, no contract_name/number. It is this vendor's only transaction in the entire dataset (hv_base + tier_detail), and the single largest payment ever made from this appropriation (larger than the 41-txn / $10.7M Central Arizona Water Conservation District relationship). robust_z_in_agencycat = 133.7 and vendor_share_of_agency_year = 0.354 (35% of the fund-year). Nearly every other large recipient of this fund is a government/intergo"
IV0000000660,PITNEY BOWES,false_positive_marker,high,1,suppress_marker,person_name_payee; offcontract; nonstd_rail; round_100k; round_1m; whole_dollar; peer_outlier; june_round,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data.","Data conclusively explains this as routine postage spend. category2 = ""POSTAGE AND DELIVERY"" on 198 of 205 high-value rows ($56.2M of $56.5M FY2021-2025); the remaining rows are meter ""RENTAL EXPENDITURES"" and ""OTHER EQUIPMENT-CAPITAL"". Appropriations are self-describing: ""DES POST/SUPP CLR"" (DES postage/supply clearing, $29.4M/98 txns), ""POSTAGE FUND"" ($7.2M/9 txns at ADOT), and OPERATING LUMP SUM lines at high-mail-volume agencies (DES, ADOT, Revenue, Child Safety, DPS, Industrial Commission, Corrections, Education, Administration). The round/whole-dollar markers (DES paying exactly $300,000"
IV0000002963,BANNER HEALTH,explained_benign,high,2,downgrade,new_vendor_large; no_contract_named; offcontract; nonstd_rail,,"The sole flagged row is a single FY2021 $10,000,000 payment from DEPT OF HEALTH SERVICES, category PROFESSIONAL AND OUTSIDE SERVICES, appropriation_1_name 'PUBLIC HEALTH EMERGENCIES', fund_1_name 'TITLE VI-CORONAVIRUS RELIEF FUND' (the CARES Act federal Coronavirus Relief Fund), invoice_number '2020-12', paid by WARRANT. This is a one-time COVID-19 federal pandemic-relief disbursement to Arizona's largest hospital system. hv_base confirms Banner sits in a clear cohort of healthcare recipients drawing on the SAME appropriation and SAME federal CRF in FY2021 (Scottsdale Healthcare Foundation $3."
IV0000082779,ARIZONA JEWISH HISTORICAL SOCIETY,genuine_review,high,4,annotate,new_vendor_large; short_tenure_vendor,"The Arizona Jewish Historical Society received a $7M FY2025 state appropriation (via the Dept of Education) to help build the Hilton Family Holocaust Education Center in Phoenix, which broke ground in 2025 and is slated to open in 2027 with ~$38M total raised; a condition was free admission for Arizona students.","Single FY2025 Tier-1 txn: $7,000,000 WARRANT from DEPT OF EDUCATION, GENERAL FUND, category PROFESSIONAL AND OUTSIDE SERVICES. The appropriation_1_name, contract_name, and contract_number all align to one named purpose: 'ARIZONA HOLOCAUST EDUCATION CENTER' (CTR073049). The vendor IS the entire appropriation line (appropriation_year_total = $7M, 1 txn) and the sole payee on it. vendor_share_of_agency_year is tiny (0.0009) because DOE distributes billions in school aid, but robust_z_in_agencycat = 54.3 vs the prof-services peer group — it is a one-off earmarked capital/program grant, not a recur"
VC0000082646,FONDOMONTE ARIZONA LLC,genuine_review,high,5,keep,,"Fondomonte Arizona LLC is the US subsidiary of Saudi dairy giant Almarai, growing alfalfa on Arizona state land to ship home as cattle feed; its cheap leases and unmetered groundwater pumping drew national scrutiny, an Arizona Auditor General investigation, and lease terminations/non-renewals by Gov. Hobbs in 2023. Public reporting indicates the $7M was a state-law-required reimbursement to Fondomonte for lease improvements.","Exactly one transaction in both tier_detail and hv_base: a $7,000,000 round-number WARRANT from the LAND DEPARTMENT to Fondomonte Arizona LLC, posted 2025-02-12, FY2025. Appropriation = STATE AND LOCAL FISCAL RECOVERY FUNDS, fund = Coronavirus State and Local Fiscal Recovery Fund, category1 = OTHER OPERATING EXPENDITURES / category2 = MISCELLANEOUS OPERATING. transaction_description is 'N/A'; contract_name and contract_number are both NULL. This single payment IS the entire high-value spend from that appropriation in the agency-year (1 vendor, 1 txn, $7M total), giving vendor_share_of_agency_y"
IV0000055200,DONORSCHOOSE ORG,explained_benign,high,2,downgrade,person_name_payee; nonstd_rail; round_1m,"DonorsChoose is a well-known national education nonprofit. The Arizona Department of Education publicly partnered with it using federal ESSER COVID-relief funds (announced $14M and an additional $5M efforts) to let public-school teachers request classroom resources (~$1,000/project cap), funding 15,000+ teacher projects.","All 5 high-value rows (4 Tier-1 in FY2023 + 1 small FY2024) are DEPT OF EDUCATION payments under appropriation EDUCATION FOR THE DISADVANTAGED, category PROFESSIONAL AND OUTSIDE SERVICES, paid by WARRANT. The contract is named (ESSER FUNDS) AND numbered (CTR058940) — i.e. a documented federal COVID-relief (ESSER) pass-through. Vendor_share_of_agency_year is 0.001 (0.1%), so not concentrated. The spend ($4.74M + $1.0M + $0.23M + $0.18M = ~$6.15M in FY2023) matches Arizona Dept of Education's publicly announced multi-million-dollar DonorsChoose ESSER partnership funding teacher classroom-resourc"
PZ000033197,PULICE CONSTRUCTION INC,explained_benign,high,2,annotate,offcontract; no_contract_named,"Pulice Construction Inc is a long-established Arizona heavy-highway/freeway construction contractor (Phoenix area) that is a frequent ADOT prime/design-build contractor on Loop and freeway projects. ADOT routinely pays fixed 'stipends' to design-build proposers, which are round lump-sum amounts.","Single Tier-1 lead is a $2,000,000 ADOT payment (FY2016, posting 2016-06-13, category PROFESSIONAL AND OUTSIDE SERVICES, appropriation 'M-RARF CONSTRUCT FREEWAYS'). The invoice_number reads 'H882701D STIPEND' — i.e. a design-build procurement STIPEND lump sum tied to ADOT project/contract reference H882701D. This single line explains every high-score marker: round_1m/whole_dollar (a stipend is a negotiated round lump sum by design), june_round (posted at FY year-end), and peer_outlier/robust_z=55 (one big lump sum vs many smaller progress payments in the same agency-category). Full history con"
PZ000053526,KIEWIT DEVELOPMENT COMPANY,explained_benign,high,2,downgrade,offcontract; no_contract_named; nonstd_rail; june_round,"Kiewit Development Company was a short-listed proposer team in ADOT's Loop 202 South Mountain Freeway design-build P3 procurement; it lost to Connect 202 Partners (Fluor/Granite/Ames), which won the ~$916M contract finalized in 2016. The $2M is the standard losing-proposer stipend paid to defray proposal-development costs.","Vendor has exactly ONE transaction in the entire dataset: a single $2,000,000 payment from DEPT OF TRANSPORTATION in FY2016, category PROFESSIONAL AND OUTSIDE SERVICES, appropriation 'M-RARF CONSTRUCT FREEWAYS OTH RT 56-2' (RARF = Regional Area Road Fund, the dedicated Maricopa freeway-construction fund). The invoice_number field literally reads '9100156219 STIPEND' and object_no 6231, posting_date 2016-06-13, payment_method WARRANT. The data thus self-describes this as a design-build/P3 PROCUREMENT STIPEND, not a construction or services payment. Context corroborates: the same appropriation i"
VC0000078458,TRULAW PC,mixed,high,3,annotate,person_name_payee; offcontract; new_vendor_large; nonstd_rail; round_100k,"TruLaw is a real, recognizable U.S. plaintiff-side personal-injury/product-liability law firm (founded 2015), which is consistent with receiving a one-time liability settlement disbursement from a state self-insurance fund.","Single lifetime transaction in both tier_detail and hv_base: one $1,900,000 WARRANT in FY2024 from DEPT OF ADMINISTRATION, appropriation ""RISK MANAGEMENT LOSSES AND PREMIUMS"", category1 OTHER OPERATING EXPENDITURES / category2 INSURANCE AND RELATED CHARGES, description ""N/A"", no contract_name/number. This appropriation IS Arizona's self-insurance / tort-settlement fund: of its top payees, the overwhelming majority are plaintiff law firms (Russo Russo & Slania $4.5M, Goldman & Zwillinger $2.5M, Robert E Pastor $2.05M, Zachar Law Firm, The Leader Law Firm, Gallagher & Kennedy, Law Offices of Joe"
VC0000063751,NAME REDACTED,explained_benign,high,2,downgrade,nonstd_rail; new_vendor_large; peer_outlier; whole_dollar; agency_benford; offcontract,"Payee name is redacted in the data (the literal string 'NAME REDACTED' is a placeholder token shared by ~1,821 distinct vendor IDs), so no specific named entity can be identified or searched. The Arizona AG's Consumer Restitution and Remediation Revolving Fund is the statutory vehicle (A.R.S. consumer-fraud statutes) for disbursing settlement proceeds, frequently to counties and claims administrators.","Single FY2021 payment of $1,690,400 from the Arizona Attorney General's CONSUMER RESTITUTION AND REMEDIATION REVOLVING FUND (fund_1_name), appropriation 'NON APPROPRIATED REVENUES AND EXPENDITURES', category MISCELLANEOUS OPERATING, paid by standard WARRANT. transaction_description is 'N/A' (no description supplied). This fund holds proceeds of consumer-protection settlements and disburses restitution/remediation. Peer payees from the SAME fund and amount band are legitimate restitution recipients: Yavapai/Coconino/Pima/Mohave/Cochise counties and class-action administrators KCC Class Action S"
IV0000001534,KINELLA CONSTRUCTION LLC,genuine_review,high,4,keep,"offcontract (contract_number/contract_name NULL; contract fields only ~2-6% populated system-wide, so weak alone); nonstd_rail (no transaction_description/contract present; not load-bearing given sparse contract data)","Kinella Construction LLC is a Phoenix Valley general contractor (Arizona registry L11030783) doing commercial, multifamily, and custom-home construction and remodels — a plausible vendor for Arizona Senate/House building repair and capital improvement work.","Kinella received $5.77M across 11 high-value rows (FY2023-24), all GENERAL FUND under ""OPERATING LUMP SUM APPROPRIATION"" at the SENATE and HOUSE. category2 reveals the actual work: REPAIR AND MAINTENANCE (Senate) and BUILDINGS AND BUILDING IMPROVEMENTS / CAPITAL OUTLAY (both chambers). The Tier-1 row is a single $1,500,000 payment; the vendor also took $923K, $769K, $558K, $543K, $408K, $400K, $366K, $167K. Peer context is the load-bearing finding: in Senate FY2023 R&M the category median high-value payment is ~$63.5K (Q1 $44.8K, Q3 $111K, n=38), so the $1.5M payment is ~24x the median (robust"
VC0000045869,WEIL GOTSHAL & MANGES LLP,genuine_review,high,4,keep,,"Weil, Gotshal & Manges LLP is a top-tier international (AmLaw-100) law firm headquartered in New York, known for high-stakes M&A, bankruptcy/restructuring, and complex commercial and class-action litigation. No specific public record of this 2018 Arizona Dept of Administration engagement surfaced in a quick search.","Two FY2018 warrants from DEPT OF ADMINISTRATION, appropriation RISK MANAGEMENT LOSSES AND PREMIUMS / fund RISK MANAGEMENT: $1,000,000 (Tier-1, risk 21.0) and $500,000 (Tier-2, risk 19.6), totaling $1.5M. This is the vendor's ONLY activity in the data: vendor_first_year=2018, vendor_years_active=1, single agency, no transaction_description, no contract_name, no contract_number. Within this appropriation in FY2018 the median txn was ~$100K (12,870 agency-cat rows; the approp had 153 txns / 71 vendors / $42M); the $1M payment is ~10x median (robust_z 2.27) and the $500K is ~5x (z 1.01). The payee"
PZ000023536,SEATTLE UNIVERSITY SCHOOL OF LAW,explained_benign,high,2,suppress_marker,offcontract; nonstd_rail; new_vendor_large; round_100k; june_round,"Seattle University School of Law (Seattle, WA) — its Korematsu Center Civil Rights/Amicus Clinic served as plaintiffs' counsel in the Arizona Mexican American Studies / ethnic-studies litigation (Gonzalez v. Douglas), in which a federal judge ruled against the State of Arizona on Aug. 22, 2017, finding the challenged law was enacted with discriminatory purpose. The $400K payment from Arizona's risk-management loss fund aligns with a resulting attorney-fee/settlement award.","Single lifetime row: one $400,000 FY2018 WARRANT from DEPT OF ADMINISTRATION, appropriation ""RISK MANAGEMENT LOSSES AND PREMIUMS"", fund ""RISK MANAGEMENT"", category OTHER OPERATING EXPENDITURES. This is the state self-insurance / claims-and-litigation loss pool, not procurement. Peer payees in the same appropriation/year/$100K-$1M band are dominated by law firms (Weil Gotshal, Gallagher & Kennedy, David R Farney PLC, Mercaldo Law, Coben Law Firm), insurance/claims entities (MetLife Assignment, Marsh McLennan, Arthur J Gallagher), and individual claimants/conservators — the textbook profile of s"
VC0000074486,KELLY & LYONS PLLC,explained_benign,high,2,downgrade,"new_vendor_large: one-off litigation-settlement counterparty is inherently 'new'; also subject to the FY2019-2020 NULL vendor_id caveat, so first_year_seen 2023 is unreliable; offcontract: settlement payouts legitimately have no procurement contract, and contract_number is only ~2-6% populated overall; round_100k / june_round: negotiated legal settlements are routinely round-dollar ($100K/$800K) and the FY2023 warrant posted 2023-06-30 (fiscal year-end), both expected rather than anomalous; nonstd_rail: WARRANT is the normal disbursement rail for claim/settlement payouts","Kelly & Lyons PLLC is a Scottsdale/Phoenix, AZ plaintiff-side trial firm (founded 2018) handling personal injury, wrongful death, civil rights, and insurance bad-faith litigation; consistent with a counterparty receiving settlement payouts from the State's risk-management self-insurance fund.","Two warrants ($100K in FY2023, $800K in FY2025), both from Dept of Administration appropriation ""RISK MANAGEMENT LOSSES AND PREMIUMS"" (category2 = INSURANCE AND RELATED CHARGES; appropriation_category = RISK MANAGEMENT LOSSES AND PREMIUMS; fund_1_name = RISK MANAGEMENT FUND). This is the State's self-insurance fund that pays litigation settlements/claims. transaction_description is ""N/A"" and contract_name/number are NULL — consistent with a court/settlement payout rather than a procurement. The peer-payee population for this exact appropriation is dominated by law firms (J&H Marsh & McLennan b"
VC0000067061,RASMUSSEN INJURY LAW PLLC,false_positive_marker,high,2,suppress_marker,offcontract; new_vendor_large; round_100k; june_round; nonstd_rail,"Rasmussen Injury Law PLLC is an established Arizona personal-injury law firm (offices in Mesa, Tucson, and Glendale), led by owner Chase Rasmussen, handling car/truck/motorcycle accident and wrongful-death claims. An $800K payment from the state's risk-management loss fund is consistent with a liability settlement paid to/through such a firm.","Single lifetime transaction in both tier_detail and hv_base: one $800,000 WARRANT in FY2024 from DEPT OF ADMINISTRATION, appropriation ""RISK MANAGEMENT LOSSES AND PREMIUMS"", category OTHER OPERATING EXPENDITURES. That appropriation is Arizona's self-insurance / liability-claim fund: its top-25 payees are personal-injury law firms (Zachar, Hallinan, TruLaw, Robbins, Beus Gilbert, Clausen), individual claimant families (Fanelli, Outram), and structured-settlement annuity carriers (MetLife, New York Life, Pacific Life, Prudential, USAA Annuity). Rasmussen Injury Law PLLC is a personal-injury firm"
VC0000083776,IRCS CENTER FOR ECONOMIC OPPORTUNITY INC,genuine_review,high,3,keep,offcontract; nonstd_rail,IRCS (Inter Tribal/community-style economic opportunity nonprofit) appears to be a private nonprofit intermediary funded under Arizona's Microbusiness Loan Fund administered by the Office of Economic Opportunity; the fund makes discretionary grants to CDFI-type intermediaries to capitalize microbusiness lending.,"Exactly ONE high-value transaction in the entire dataset: a $600,000 WARRANT posted 2025-06-30 from OFFICE OF ECONOMIC OPPORTUNITY, appropriation MICROBUSINESS LOAN FUND, category PROFESSIONAL AND OUTSIDE SERVICES, with no contract_name, contract_number, or invoice_number. This is the LARGEST single award in the Microbusiness Loan Fund for FY2025 (vs Growth Partners AZ $515K, Hustle PHX $425K) and is ~31% of the fund's $1.92M FY2025 high-value disbursements across 5 payees. vendor_share_of_agency_year 0.025 and robust_z_in_agencycat 4.60 confirm a genuine statistical outlier within agency-cate"
IV0000004992,HAGENS BERMAN SOBOL SHAPIRO LLP,explained_benign,high,2,downgrade,new_vendor_large; offcontract,"Hagens Berman Sobol Shapiro LLP is a national plaintiffs' class-action law firm (notably the lead firm in the $260B state tobacco settlement). The Arizona AG retained it as outside counsel under publicly-posted contingency-fee engagement contracts (e.g., AG23-0009-006) for consumer-protection/antitrust suits against RealPage, Yardi, and Amazon.","All flagged rows are payments from the AZ ATTORNEY GENERAL (DEPT OF LAW), category PROFESSIONAL AND OUTSIDE SERVICES, out of the COURT ORDERED TRUST FUND: three FY2023 ACH payments of $678,750, $131,250, and $31,226. This is the AG paying retained outside counsel (a national plaintiffs' class-action firm) for legal services / contingency fees, a routine and structurally benign disbursement. The vendor's share of the agency-year is only 0.47%. Critically, hv_base shows the SAME firm received $515,763 from the SAME agency and SAME fund in FY2020 (by WARRANT), but that row has NULL vid because ve"
MISCCUSTOM,MISCELLANEOUS CUSTOMER,false_positive_marker,high,2,suppress_marker,placeholder_payee; masked_payee; offcontract; nonstd_rail; round_100k; june_round; whole_dollar,,"""MISCELLANEOUS CUSTOMER"" is a payee-masking placeholder used by the State of Arizona to anonymize individual payment recipients, not a real vendor. It sits alongside a sibling placeholder ""MISCELLANEOUS VENDOR"" (1,634 rows). hv_base shows 275 high-value rows ($15.1M) across 7 agencies / 9 appropriations, all WARRANT-rail, all with NULL contract_number. The underlying appropriations explain every dollar as masked individual payouts: REGISTRAR OF CONTRACTORS - RECOVERY FUND PROGRAM (228 txns, $6.7M) pays restitution to homeowners harmed by licensed contractors, with the recurring $30,000 amount "
